,G1.S,S,G2,G2.M,M.G1
0,ABCA7,ABCC2,ALKBH1,ADH4,AFAP1
1,ACD,ABCC5,ANLN,AHI1,AGFG1
2,ACYP1,ABHD10,AP3D1,AKIRIN2,AGPAT3
3,ADAMTS1,ACPP,ARHGAP11B,ANKRD40,AKAP13
4,ADCK2,ADAM22,ARHGAP19,ANLN,AMD1
5,ADCY6,ANKRD18A,ARL4A,ANP32B,ANP32E
6,ANKRD10,ANKRD36,ARMC1,ANP32E,ANTXR1
7,AP4B1,ARHGAP42,ASXL1,ARHGAP19,AOC2
8,APEX2,ASF1B,ATL2,ARHGDIB,AOC3
9,ARGLU1,ASIP,AURKB,ARL6IP1,BAG3
10,ATAD2,ATAD2,BCLAF1,ASPHD2,BTBD3
11,BAIAP2,BBS2,BORA,ASXL1,C16orf57
12,BARD1,BIVM,BRD8,ATF7IP,C1orf96
13,BDAG1,BLM,BTNL9,ATXN1L,C3orf62
14,BRD7,BMI1,BUB3,AURKA,C4A
15,C14orf142,BRCA1,C12orf32,B4GALT1,CBX3
16,C1orf63,BRIP1,C14orf80,BIRC2,CD24
17,C21orf90,C11orf82,C15orf29,BIRC5,CDC42
18,C7orf23,C20orf111,C2orf69,BMP2,CDK7
19,C7orf41,C4BPB,C5orf49,BUB1,CDKN3
20,C8orf38,C5orf42,C6orf103,C15orf23,CEP70
21,CAPN7,CALD1,C9orf100,C19orf76,CNIH4
22,CASP2,CALM2,CASP3,C1orf96,CRYBA1
23,CASP8AP2,CAPS,CBX5,C5orf41,CTR9
24,CCNE1,CASP2,CCDC107,C6,CWC15
25,CCNE2,CCDC14,CCDC165,C9orf140,CYTH3
26,CDC25A,CCDC150,CCNA2,CADM1,DCP1A
27,CDC6,CCDC84,CCNF,CCDC88A,DCTN6
28,CDCA7,CDC45,CDC16,CCDC90B,DEXI
29,CDCA7L,CDC7,CDC25C,CCDC99,DKC1
30,CDK20,CDCA5,CDC42EP4,CCNA2,DNAJB6
31,CEP57,CDH24,CDCA2,CCNB2,DSP
32,CHAF1A,CDKN2AIP,CDCA3,CD97,DYNLL1
33,CHAF1B,CENPM,CDCA8,CDC20,EIF4E
34,CLSPN,CENPQ,CDK1,CDC25B,ELP3
35,CREBZF,CERS6,CDKL5,CDC27,FAM189B
36,CTSD,CHML,CDKN1B,CDC42EP1,FAM60A
37,DDX12P,COL7A1,CDKN2C,CDCA3,FOPNL
38,DHFRL1,COQ9,CDR2,CDKN2D,FOXK2
39,DIS3,CPNE8,CENPL,CENPA,FRS2
40,DNAJB9,CREBZF,CEP350,CENPE,FXR1
41,DNAJC3,CRLS1,CFD,CENPF,G3BP1
42,DONSON,DCAF16,CFLAR,CEP55,GATA2
43,DSCC1,DCUN1D3,CHEK2,CFLAR,GDF15
44,DTL,DEPDC7,CIITA,CIT,GNB1
45,E2F1,DHFR,CKAP2,CKAP2,GRPEL1
