,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
0,DM,0.9958202558235127,0.07937721622843133,0.0759332222909884,0.0,1.0,0,10,500
1,LE,0.9956523449409044,0.08025145329343832,0.07741208951508749,0.0,1.0,0,10,500
0,DM,0.9960189985589928,0.07072439033488395,0.08333532317231115,0.0,1.0,1,10,500
1,LE,0.9940937919200705,0.08475810660371476,0.0869492714816171,0.0,1.0,1,10,500
0,DM,0.9616864400040223,0.20831245988379113,0.17986105945633643,0.0,1.0,2,10,500
1,LE,0.9610559635628317,0.20751652926764058,0.1788471768374599,0.0,1.0,2,10,500
0,DM,0.9947960831538915,0.07765208163813371,0.08011264910438781,0.0,1.0,3,10,500
1,LE,0.9940350444311371,0.08202293772688012,0.08267701176670585,0.0,1.0,3,10,500
0,DM,0.9963687384228154,0.07237154977675433,0.0766889801506054,0.0,1.0,4,10,500
1,LE,0.9958708481509528,0.0777004115510328,0.07747997473412636,0.0,1.0,4,10,500
0,DM,0.9988434333855926,0.03636609787278497,0.0818831310863051,0.0,1.0,5,10,500
1,LE,0.9983767508495814,0.043423299539161346,0.0861375472143503,0.0,1.0,5,10,500
0,DM,0.9978811927787975,0.05102852306265,0.07373638344102693,0.0,1.0,6,10,500
1,LE,0.9974065277248555,0.05677759727187143,0.07543948253952795,0.0,1.0,6,10,500
0,DM,0.9988600865181667,0.037110271604822415,0.07745432242778628,0.0,1.0,7,10,500
1,LE,0.9984260817244517,0.043717408428784084,0.08264749121373084,0.0,1.0,7,10,500
0,DM,0.9977811167125803,0.054348050666828865,0.07486659662409272,0.0,1.0,8,10,500
1,LE,0.9971448616526429,0.06144560780330755,0.08033704336515002,0.0,1.0,8,10,500
0,DM,0.9958680334866001,0.07459050838558215,0.07710607661644509,0.0,1.0,9,10,500
1,LE,0.9951640268047222,0.07934636152805476,0.07923648365862479,0.0,1.0,9,10,500
0,DM,0.9949711096593088,0.07408336352123723,0.07971961118470064,0.0,1.0,10,10,500
1,LE,0.994296711944595,0.08061526663996856,0.08694350499097826,0.0,1.0,10,10,500
0,DM,0.9951073273877957,0.08301864670012238,0.08780949711865618,0.0,1.0,11,10,500
1,LE,0.9933876267982839,0.09730424057625452,0.09258940334815166,0.0,1.0,11,10,500
0,DM,0.9962494573199296,0.07040820800843245,0.07250728297497101,0.0,1.0,12,10,500
1,LE,0.9956503583637468,0.07056923687666757,0.08002351932968363,0.0,1.0,12,10,500
0,DM,0.9953137247365172,0.07954627153194314,0.0776320065934374,0.0,1.0,13,10,500
1,LE,0.9947774523154208,0.08320617656465217,0.08074362972677919,0.0,1.0,13,10,500
0,DM,0.998528833630244,0.04730327729543653,0.0738670212856095,0.0,1.0,14,10,500
1,LE,0.9985887625276071,0.04490191552440378,0.07736012351349779,0.0,1.0,14,10,500
0,DM,0.9966982725883464,0.06881118957569557,0.07784457515819224,0.0,1.0,15,10,500
1,LE,0.996596477329182,0.07007573224332045,0.08042337826443975,0.0,1.0,15,10,500
0,DM,0.9892166837954339,0.12850730933752016,0.07669713981988005,0.0,1.0,16,10,500
1,LE,0.9884324247686721,0.13315886134341315,0.08276823000059368,0.0,1.0,16,10,500
0,DM,0.9951659239800797,0.07727198865177443,0.09302202977425536,0.0,1.0,17,10,500
1,LE,0.9946164381431345,0.08073538193961835,0.09397509011378566,0.0,1.0,17,10,500
0,DM,0.9964254230663075,0.06674854579928141,0.08822440735538825,0.0,1.0,18,10,500
1,LE,0.9956208662944348,0.07331408692426654,0.09353783247952341,0.0,1.0,18,10,500
0,DM,0.9980445808627576,0.050228069566433234,0.07320816913315932,0.0,1.0,19,10,500
1,LE,0.9975066513345898,0.05887799270770942,0.07838619550014382,0.0,1.0,19,10,500
0,DM,0.998132126040973,0.049386294952941986,0.08176659978275932,0.0,1.0,20,10,500
1,LE,0.9972978354308611,0.05693255331598068,0.0870944491641377,0.0,1.0,20,10,500
0,DM,0.9981221708963718,0.051331971715936904,0.07640635529343603,0.0,1.0,21,10,500
1,LE,0.9973078104672223,0.06075133974202454,0.08187282910199685,0.0,1.0,21,10,500
0,DM,0.9982596253746722,0.04670505834206149,0.085181252413942,0.0,1.0,22,10,500
1,LE,0.9971041643959019,0.06281721454767887,0.088084326241387,0.0,1.0,22,10,500
0,DM,0.9616820721067179,0.21495440622987982,0.14361873855892493,0.0,1.0,23,10,500
1,LE,0.962285760974834,0.21166753477811687,0.14169232223751319,0.0,1.0,23,10,500
0,DM,0.9985543673603274,0.043820753675567814,0.07892292552631744,0.0,1.0,24,10,500
1,LE,0.9986254459962297,0.040213554816525346,0.08288044788703482,0.0,1.0,24,10,500
0,DM,0.9983495195456753,0.045888539796568165,0.07675672096428603,0.0,1.0,25,10,500
1,LE,0.9977482756460072,0.05407731420070615,0.08158049529176231,0.0,1.0,25,10,500
0,DM,0.9952031784231238,0.08158119290612574,0.08890969540002756,0.0,1.0,26,10,500
1,LE,0.9935857595105764,0.09479140137545042,0.0956358214374642,0.0,1.0,26,10,500
0,DM,0.9945913464462808,0.07928295022362682,0.08125196886490742,0.0,1.0,27,10,500
1,LE,0.9943430914163887,0.08387063080253333,0.08100416002319535,0.0,1.0,27,10,500
0,DM,0.9931444750904849,0.09363382639951605,0.0750289673483996,0.0,1.0,28,10,500
1,LE,0.9925305430982863,0.09612206824902245,0.07776462694992162,0.0,1.0,28,10,500
0,DM,0.9621689545656809,0.2232361776244464,0.1474664874819513,0.0,1.0,29,10,500
1,LE,0.9608424517865671,0.2291158058233267,0.15707156259545557,0.0,1.0,29,10,500
0,DM,0.9935394408652755,0.10123781517389184,0.07755732950552656,0.0,1.0,30,10,500
1,LE,0.9924709476733008,0.11117909780380779,0.0792662348106395,0.0,1.0,30,10,500
0,DM,0.9923643166143222,0.09920785121859375,0.09390355646819602,0.0,1.0,31,10,500
1,LE,0.9902421001032149,0.11015654998581095,0.10063118622327118,0.0,1.0,31,10,500
0,DM,0.9945424352596808,0.09062952743184512,0.07479397027353402,0.0,1.0,32,10,500
1,LE,0.9947682263250888,0.0862524166008055,0.07628263649181241,0.0,1.0,32,10,500
0,DM,0.9978293016334155,0.0540848957499233,0.07583322059251284,0.0,1.0,33,10,500
