,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
0,DM,0.9970681194629131,0.06695883246162651,0.07550469226894682,0.0,1.0,0,10,500
1,LE,0.9954843467345015,0.07964744814423315,0.08815666303610306,0.0,1.0,0,10,500
0,DM,0.9961143681320775,0.06871076530999021,0.08267116761845988,0.0,1.0,1,10,500
1,LE,0.9954610847983298,0.07838075861661989,0.09216605796451015,0.0,1.0,1,10,500
0,DM,0.9605328714915201,0.21382595958363293,0.1780600641281722,0.0,1.0,2,10,500
1,LE,0.9604284986665825,0.21452502210095364,0.17436843944941485,0.0,1.0,2,10,500
0,DM,0.9952302276840245,0.07706627416585159,0.0762246095877396,0.0,1.0,3,10,500
1,LE,0.9927930623898387,0.10012239397250351,0.09757418010928329,0.0,1.0,3,10,500
0,DM,0.9954985755163361,0.08302250198269198,0.07653918718830113,0.0,1.0,4,10,500
1,LE,0.9937222586334794,0.09676885728916924,0.09917383927193488,0.0,1.0,4,10,500
0,DM,0.9984387682622192,0.043582169237216445,0.08173798522041678,0.0,1.0,5,10,500
1,LE,0.9962286593991413,0.06974601167772826,0.08577440382651341,0.0,1.0,5,10,500
0,DM,0.9981644451762789,0.04807735830569436,0.07395430602858206,0.0,1.0,6,10,500
1,LE,0.9957530361834109,0.07248143045146317,0.09594434440641088,0.0,1.0,6,10,500
0,DM,0.9986846343055138,0.042518957354479754,0.07542837386054925,0.0,1.0,7,10,500
1,LE,0.9973029523521715,0.05928484829688422,0.09821675113020609,0.0,1.0,7,10,500
0,DM,0.9976226402625363,0.05628994356733281,0.07669292316877559,0.0,1.0,8,10,500
1,LE,0.9950293488031178,0.08139916208798575,0.09832671218684562,0.0,1.0,8,10,500
0,DM,0.9949531305607726,0.08285900641534874,0.07819626392376221,0.0,1.0,9,10,500
1,LE,0.9914037420589525,0.10933120262596263,0.09000541341786121,0.0,1.0,9,10,500
0,DM,0.9949939751936715,0.0720059404811945,0.07832297043184469,0.0,1.0,10,10,500
1,LE,0.9882456326429423,0.12305554063548396,0.10935601134145483,0.0,1.0,10,10,500
0,DM,0.9954523860916031,0.07865201329534834,0.08293559217434524,0.0,1.0,11,10,500
1,LE,0.9875539901103206,0.13283537652391117,0.09684040068769406,0.0,1.0,11,10,500
0,DM,0.9952826568410253,0.07732414345765563,0.07430436128237763,0.0,1.0,12,10,500
1,LE,0.9917521078370951,0.10241003301705934,0.09879106137012765,0.0,1.0,12,10,500
0,DM,0.9959896742886224,0.07303773949093634,0.07504400040679979,0.0,1.0,13,10,500
1,LE,0.9932457307782365,0.09687112688192805,0.11145512108793573,0.0,1.0,13,10,500
0,DM,0.9981656791649557,0.05141065548756151,0.07337693744286483,0.0,1.0,14,10,500
1,LE,0.9958488224528597,0.0731534154560993,0.09417465918307548,0.0,1.0,14,10,500
0,DM,0.9968613784407234,0.06666133484223742,0.07573529942459314,0.0,1.0,15,10,500
1,LE,0.9925886513813863,0.09893767968158516,0.10014170065729264,0.0,1.0,15,10,500
0,DM,0.9883274689009927,0.13521038410415742,0.07879427174294439,0.0,1.0,16,10,500
1,LE,0.9838850916681517,0.1547220930681836,0.11675003438127976,0.0,1.0,16,10,500
0,DM,0.9959652502466546,0.0719698367100065,0.09262011503500386,0.0,1.0,17,10,500
1,LE,0.9948570248984501,0.08421087164086728,0.11207888727340176,0.0,1.0,17,10,500
0,DM,0.9973482199317092,0.05959950723096737,0.08286944231928055,0.0,1.0,18,10,500
1,LE,0.994542319292249,0.0816670029332304,0.11410002816210184,0.0,1.0,18,10,500
0,DM,0.9980470697663592,0.04846272573755284,0.07494897144352264,0.0,1.0,19,10,500
1,LE,0.996210964017557,0.068400619061828,0.08826630861284682,0.0,1.0,19,10,500
0,DM,0.9979410264083703,0.053182853182974325,0.08101649880339877,0.0,1.0,20,10,500
1,LE,0.9963932474502039,0.07225094937948329,0.09598597808209662,0.0,1.0,20,10,500
0,DM,0.9968438639330546,0.06458893244832653,0.08102430708147422,0.0,1.0,21,10,500
1,LE,0.9946215802808324,0.08492756892256162,0.1029441181215399,0.0,1.0,21,10,500
0,DM,0.9981541826550986,0.05034408791977604,0.07387421334286191,0.0,1.0,22,10,500
1,LE,0.9971686146690493,0.06024796575495172,0.09328646736822692,0.0,1.0,22,10,500
0,DM,0.9614822662638967,0.21311434306294996,0.14954110156830036,0.0,1.0,23,10,500
1,LE,0.9641548668069553,0.2067716423093688,0.19109769381684927,0.0,1.0,23,10,500
0,DM,0.9980293178518457,0.051580363135851195,0.07613081850269042,0.0,1.0,24,10,500
1,LE,0.9951720546315719,0.08487128536560389,0.08463656211482606,0.0,1.0,24,10,500
0,DM,0.9983283832239211,0.04599852883330989,0.07292565703904048,0.0,1.0,25,10,500
1,LE,0.9964840488557777,0.0682363355599081,0.08064708329972022,0.0,1.0,25,10,500
0,DM,0.9975337393528361,0.056332834130126144,0.08195253506822414,0.0,1.0,26,10,500
1,LE,0.9946923699339979,0.07840225788852614,0.09700393321039891,0.0,1.0,26,10,500
0,DM,0.9964695468096951,0.07078189360060301,0.07636125639911862,0.0,1.0,27,10,500
1,LE,0.9949875964263649,0.07470760850518089,0.09575577861845475,0.0,1.0,27,10,500
0,DM,0.9939147173130966,0.09098578139438727,0.07424973750108224,0.0,1.0,28,10,500
1,LE,0.9939452952787753,0.09509634761535136,0.1088396085916074,0.0,1.0,28,10,500
0,DM,0.9607613323645999,0.22845413520111016,0.15015177661612802,0.0,1.0,29,10,500
1,LE,0.9558085050924321,0.24530031446260803,0.14040070061705237,0.0,1.0,29,10,500
0,DM,0.9941610196915679,0.0930231900309925,0.07733151878796958,0.0,1.0,30,10,500
1,LE,0.990476190510495,0.1095702486619061,0.11134086295473258,0.0,1.0,30,10,500
0,DM,0.9932857280336778,0.09061258195978049,0.08617040876979216,0.0,1.0,31,10,500
1,LE,0.9888764206455787,0.11371751544964358,0.10246545085111924,0.0,1.0,31,10,500
0,DM,0.9947578900642454,0.08929763288289543,0.07385332639086489,0.0,1.0,32,10,500
1,LE,0.9929423310937736,0.1046943599463891,0.09040649831935381,0.0,1.0,32,10,500
0,DM,0.997162056515286,0.06130538625669286,0.07546744714348468,0.0,1.0,33,10,500
1,LE,0.9955458990097205,0.07487722771619035,0.08588330948882784,0.0,1.0,33,10,500
0,DM,0.9937870255279725,0.09196086863739576,0.08125700587523678,0.0,1.0,34,10,500
1,LE,0.9889931283430562,0.12111230886498528,0.09794136398990141,0.0,1.0,34,10,500
0,DM,0.9973529966087203,0.060043795006240186,0.07764546877614267,0.0,1.0,35,10,500
1,LE,0.9966051016902097,0.06492936393436215,0.08473642235538356,0.0,1.0,35,10,500
0,DM,0.9928634798302042,0.09795555044193657,0.07318968215925344,0.0,1.0,36,10,500
1,LE,0.9845771234525402,0.1410427610629618,0.10282680881038106,0.0,1.0,36,10,500
0,DM,0.9954089145799228,0.07202561256832306,0.09757045358360562,0.0,1.0,37,10,500
1,LE,0.9947509216718158,0.08118312327716519,0.12231084524914013,0.0,1.0,37,10,500
0,DM,0.9985836314258651,0.04279038566716352,0.07302775058076286,0.0,1.0,38,10,500
1,LE,0.9973228912965864,0.06135400503148766,0.09907775865941626,0.0,1.0,38,10,500
0,DM,0.9983198186145731,0.045664852756144826,0.07476767022308525,0.0,1.0,39,10,500
1,LE,0.9955355287961989,0.07375900865169571,0.09386652021922721,0.0,1.0,39,10,500
0,DM,0.9982796304957594,0.047247926016702774,0.07204183529502077,0.0,1.0,40,10,500
1,LE,0.9958692375093019,0.07317870508321361,0.08691709141901369,0.0,1.0,40,10,500
0,DM,0.997983967476179,0.046988428990219024,0.0826337260712122,0.0,1.0,41,10,500
1,LE,0.9953202075260872,0.07598601718670275,0.09280514686982404,0.0,1.0,41,10,500
0,DM,0.9978127916840903,0.05099966567726723,0.08015490929005954,0.0,1.0,42,10,500
1,LE,0.995279921628711,0.0753114507634357,0.09410977710477489,0.0,1.0,42,10,500
0,DM,0.9980613010398209,0.04442475890890919,0.08775540304860335,0.0,1.0,43,10,500
1,LE,0.9958905404653563,0.06830569444056547,0.09115222559997906,0.0,1.0,43,10,500
0,DM,0.9989433426567144,0.036684153142213224,0.0740293331726213,0.0,1.0,44,10,500
1,LE,0.9962938126359372,0.06685821379153477,0.09036738599105155,0.0,1.0,44,10,500
0,DM,0.9963469920743394,0.06669470502650961,0.08658137575469886,0.0,1.0,45,10,500
1,LE,0.9911323372341235,0.11509765654227574,0.09793976865306214,0.0,1.0,45,10,500
0,DM,0.993153385122122,0.0914778209457724,0.08426845718779993,0.0,1.0,46,10,500
1,LE,0.9878384214256196,0.12254045508956612,0.10274183177544202,0.0,1.0,46,10,500
0,DM,0.9935628249478788,0.09182753999729826,0.09002466156380305,0.0,1.0,47,10,500
1,LE,0.9898888557676567,0.11930813234999056,0.10939110374396105,0.0,1.0,47,10,500
0,DM,0.956876991909801,0.22837067905567723,0.1488588513626681,0.0,1.0,48,10,500
1,LE,0.9548755243857333,0.2377301183944941,0.1523388866987259,0.0,1.0,48,10,500
0,DM,0.9970525956385389,0.057132828424998935,0.08668095113634289,0.0,1.0,49,10,500
1,LE,0.9956411246193994,0.06806078096708766,0.09844228522901464,0.0,1.0,49,10,500
0,DM,0.9851123908746492,0.1389479300893125,0.07364978093360812,0.0,1.5,0,10,500
1,LE,0.9763445246612001,0.16702009678850896,0.12433998627448183,0.0,1.5,0,10,500
0,DM,0.9875154834371986,0.11870055262363384,0.08830682531401074,0.0,1.5,1,10,500
1,LE,0.9775136768519148,0.1477929018128015,0.11435834575290896,0.0,1.5,1,10,500
0,DM,0.9331752175345912,0.3106594648295179,0.167395578599651,0.0,1.5,2,10,500
1,LE,0.9283088941008082,0.3195411161972969,0.2273491676466571,0.0,1.5,2,10,500
0,DM,0.9724527163175435,0.20872811051913603,0.07671757719760805,0.0,1.5,3,10,500
1,LE,0.9623119589366413,0.24249628662421532,0.12099477288602244,0.0,1.5,3,10,500
0,DM,0.979167197661172,0.1763231740767299,0.0798511784076164,0.0,1.5,4,10,500
1,LE,0.9680391649080121,0.20253433244963348,0.12884551076202813,0.0,1.5,4,10,500
0,DM,0.975561448502038,0.17404323240405375,0.09234690925652665,0.0,1.5,5,10,500
1,LE,0.9675918029710268,0.20534937192875746,0.11317665492765042,0.0,1.5,5,10,500
0,DM,0.9836437073274565,0.15238093373326228,0.07705848044398265,0.0,1.5,6,10,500
1,LE,0.9770741123666832,0.1732087168296756,0.0949064096800108,0.0,1.5,6,10,500
