,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
0,DM,0.9958202558235127,0.07937721622843133,0.0759332222909884,0.0,1.0,0,10,500
1,LE,0.5148766395938996,0.9050047608338234,0.090025058618167,0.0,1.0,0,10,500
0,DM,0.9960189985589928,0.07072439033488395,0.08333532317231115,0.0,1.0,1,10,500
1,LE,0.5179072126361548,0.8487525166884623,0.12158315672368371,0.0,1.0,1,10,500
0,DM,0.9616864400040223,0.20831245988379113,0.17986105945633643,0.0,1.0,2,10,500
1,LE,0.8089041372561968,0.46527826545837314,0.17250736748655274,0.0,1.0,2,10,500
0,DM,0.9947960831538915,0.07765208163813371,0.08011264910438781,0.0,1.0,3,10,500
1,LE,0.5110239283880169,0.8794358423175217,0.09790891488009236,0.0,1.0,3,10,500
0,DM,0.9963687384228154,0.07237154977675433,0.0766889801506054,0.0,1.0,4,10,500
1,LE,0.5113968693999172,0.9010161969242863,0.13773106162584575,0.0,1.0,4,10,500
0,DM,0.9988434333855926,0.03636609787278497,0.0818831310863051,0.0,1.0,5,10,500
1,LE,0.49791685854161183,0.9163515859355412,0.12279277034018612,0.0,1.0,5,10,500
0,DM,0.9978811927787975,0.05102852306265,0.07373638344102693,0.0,1.0,6,10,500
1,LE,0.48828890418033716,0.8654605083423169,0.08216018177352062,0.0,1.0,6,10,500
0,DM,0.9988600865181667,0.037110271604822415,0.07745432242778628,0.0,1.0,7,10,500
1,LE,0.4736280417162129,0.8997155104635222,0.08521389047050992,0.0,1.0,7,10,500
0,DM,0.9977811167125803,0.054348050666828865,0.07486659662409272,0.0,1.0,8,10,500
1,LE,0.48301939771879926,0.8732318800614823,0.08382861012323313,0.0,1.0,8,10,500
0,DM,0.9958680334866001,0.07459050838558215,0.07710607661644509,0.0,1.0,9,10,500
1,LE,0.49376800788425834,0.9413809907206273,0.11802324518106658,0.0,1.0,9,10,500
0,DM,0.9949711096593088,0.07408336352123723,0.07971961118470064,0.0,1.0,10,10,500
1,LE,0.49900799358630793,0.8803233228807054,0.09338555014021986,0.0,1.0,10,10,500
0,DM,0.9951073273877957,0.08301864670012238,0.08780949711865618,0.0,1.0,11,10,500
1,LE,0.48736180352927516,0.9369487825482906,0.16241731266019777,0.0,1.0,11,10,500
0,DM,0.9962494573199296,0.07040820800843245,0.07250728297497101,0.0,1.0,12,10,500
1,LE,0.5089545601326695,0.9084799847200443,0.09166119996101713,0.0,1.0,12,10,500
0,DM,0.9953137247365172,0.07954627153194314,0.0776320065934374,0.0,1.0,13,10,500
1,LE,0.5001109663879878,0.9064205592358362,0.09167069581711,0.0,1.0,13,10,500
0,DM,0.998528833630244,0.04730327729543653,0.0738670212856095,0.0,1.0,14,10,500
1,LE,0.4706336988203607,0.8951248034361518,0.09319167473795863,0.0,1.0,14,10,500
0,DM,0.9966982725883464,0.06881118957569557,0.07784457515819224,0.0,1.0,15,10,500
1,LE,0.4954674583530575,0.8977236846878351,0.09154193414235003,0.0,1.0,15,10,500
0,DM,0.9892166837954339,0.12850730933752016,0.07669713981988005,0.0,1.0,16,10,500
1,LE,0.4927797071282462,0.9172823600332749,0.09668675267486283,0.0,1.0,16,10,500
0,DM,0.9951659239800797,0.07727198865177443,0.09302202977425536,0.0,1.0,17,10,500
1,LE,0.5205697859230963,0.8464402401205097,0.1182052054453639,0.0,1.0,17,10,500
0,DM,0.9964254230663075,0.06674854579928141,0.08822440735538825,0.0,1.0,18,10,500
1,LE,0.5148558692492243,0.8441601730219557,0.11543413293364108,0.0,1.0,18,10,500
0,DM,0.9980445808627576,0.050228069566433234,0.07320816913315932,0.0,1.0,19,10,500
1,LE,0.5153322949010183,0.8949599724287491,0.14957346063952964,0.0,1.0,19,10,500
0,DM,0.998132126040973,0.049386294952941986,0.08176659978275932,0.0,1.0,20,10,500
1,LE,0.49178474762553936,0.8649900288221349,0.11601214713134757,0.0,1.0,20,10,500
0,DM,0.9981221708963718,0.051331971715936904,0.07640635529343603,0.0,1.0,21,10,500
1,LE,0.5055863218321864,0.8828806524475701,0.09639715631161264,0.0,1.0,21,10,500
0,DM,0.9982596253746722,0.04670505834206149,0.085181252413942,0.0,1.0,22,10,500
1,LE,0.508208902620183,0.8639502440337082,0.11555194688601272,0.0,1.0,22,10,500
0,DM,0.9616820721067179,0.21495440622987982,0.14361873855892493,0.0,1.0,23,10,500
1,LE,0.8086513298059163,0.466044508332071,0.1547665657428035,0.0,1.0,23,10,500
0,DM,0.9985543673603274,0.043820753675567814,0.07892292552631744,0.0,1.0,24,10,500
1,LE,0.5012571949903822,0.822761242368238,0.09215527326023788,0.0,1.0,24,10,500
0,DM,0.9983495195456753,0.045888539796568165,0.07675672096428603,0.0,1.0,25,10,500
1,LE,0.4936550539326726,0.9232033874309316,0.08873281574279404,0.0,1.0,25,10,500
0,DM,0.9952031784231238,0.08158119290612574,0.08890969540002756,0.0,1.0,26,10,500
1,LE,0.5167685367825777,0.8356754789024717,0.12227415374373136,0.0,1.0,26,10,500
